21356	15420	25893	4119	10654	18185	835	13768	12420	7668	19169	3152	13714	6232	832	9415	11613	3064															
11637	9246	12240	546	613	625	200	23785	1926	554	10949	16938	13211	555	18705	660	12193	11631	9518	584	567												
7988	6562	4325	7814	21171	17882	3025	26108	22249	13290	7764	18216	666	5063	22734	14679	4626	21807	24103														
13711	8880	21454	21171	3567	2707	26108	10625	15324	21168	17475	21452	8310	17056	3307	3755	21807																
4141	7617	6745	17229	7863	7872	7873	7875	7876	7865	7868	7869	7871	7877																			
15088	16779	12444	2610	14740	22181	1452	583	25199	2858	8878	763																					
19696	9138	25075	14429	18869	8853	23342	4628	23293	25148	16755	753																					
16266	8895	6640	19758	10432	3979	12444	2610	7188	4130	14740	22181	1452	583	25199	8878	3281	2180	19644	19296													
9884	1947	11583	13787	13788	20141	14204	6086	6363																								
7988	337	7764	18216	666	20614	21352	152	24103																								
4376	21412	25043	21423	6483	8240	8056	5605	12154	15129	3017	8090	4009	2897	7753																		
19819	2806	7945	7643	18662																												
20381	5327	21174	20383	1871	1876	21224	21528	2823	10285	20200	16724	6082	16207	273	5033	481	6434	14592	12488	22910												
20303	4447	15350	22653	1646	14694	24234	25233	25123	16199	12444	2610	14744	22181	4915	24992	23835	25199	21308	8878													
5505	21961	25858	11484	6178	2077	534	17814	10605	5063	8415	6036	21579	14432	2438																		
3428	18268	12907	7988	16293	9138	10547	6045	6577	12783	18216	4552	4628	24103																			
26058	19251	26213	21275	21274	21276	15084	10103	24296	21395	24506	22228	9307																				
22991	10470	20011	13641	14901	16767	22613	17497	12444	2610	24861	4043	10812	25779	2500	12893	12874	6242	25231	10310	3079	848	13299	3144	15031	2099	14923	10236	10554	21052	18565		
7115	10422	10507	9138	17583	4881	10321	21021	14450	23342	4628	25148	6829	753	17437																		
3111	26031	546	17497	12444	2610	613	681	25779	2500	3079	848	554	20327	583	6549	21308	8878	26011	25198													
8722	24300	17547	17590	16291	16227	20264	15665	7924	17497	12444	2610	4696	25779	2500	15681	3079	848	8768	20327	583	22303	8878	22228	19388	26011							
2574	21356	1818	4119	835	13768	15504	12420	14015	7668	13233	15620	19169	13714	6232	832	9415	3835	3064	4658	12368												
13083	19180	4586	2130	19978	14363	20039	12930	25289	12692	1189	9284	18045	16161	19604	18189	14635	20816															
2130	15650	23699	19978	978	18045	17499	20768	18189	14635	20816																						
21607	18723	7808	14821	13500	752	25763	6694	11373	19599																							
21356	18095	4119	12814	2805	956	19169	6232	21843	2741	5092	20517																					
2130	20310	23699	19978	20907	14010	16236	6481	16380	4308	16238	16247	978	12880	18045	20768	10115	18189	14635	20816													
13536	9010	2130	7346	7775	1143	18045	989	26036																								
2130	18116	19978	7038	20082	16625	14857	18045	19332	16279	18189	20816																					
4945	16806	16767	17497	12444	2610	4043	25779	2500	6242	3079	848	12800	12757	21065	15031	4944	2099	20327	13016	583	8878	20023	13040	21566	12164							
8738	8739	1872																														
21356	18114	18095	4119	19106	956	26214	19169	8834	6232																							
8060	14399	11467	14977	16948	10719	12444	2610	6623	19814	12654	24190	583	8878	15908	21521	7832	16507	500														
2574	21356	15420	25893	1818	4119	10654	18185	835	13768	12420	7668	13233	19169	3152	13714	6232	832	9415	11613	3835	3064											
